Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
0 DM,6,critical account,radio/television,1169,no savings,>7 years,4,male:single,none,4,real estate,67,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,48,existing credits paid,radio/television,5951,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee,1,None,Yes,High
No checking account,12,critical account,education,2096,< 100 DM,4-7 years,2,male:single,none,3,real estate,49,none,own,1,unskilled/resident,2,None,Yes,Low
0 DM,42,existing credits paid,furniture/equipment,7882,< 100 DM,4-7 years,2,male:single,guarantor,4,building society savings agreement/ life insurance,45,none,free,1,skilled employee,2,None,Yes,Low
0 DM,24,historical delay in payment,new car,4870,< 100 DM,1-4 years,3,male:single,none,4,unknown/no property,53,none,free,2,skilled employee,2,None,Yes,High
No checking account,36,existing credits paid,education,9055,no savings,1-4 years,2,male:single,none,4,unknown/no property,35,none,free,1,unskilled/resident,2,yes,Yes,Low
No checking account,24,existing credits paid,furniture/equipment,2835,500-1000 DM,>7 years,3,male:single,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,36,existing credits paid,used car,6948,< 100 DM,1-4 years,2,male:single,none,2,car or other,35,none,rent,1,management/self employed,1,yes,Yes,Low
No checking account,12,existing credits paid,radio/television,3059,>1000 DM,4-7 years,2,male:divorced/separated,none,4,real estate,61,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,30,critical account,new car,5234,< 100 DM,unemployed,4,male:married,none,2,car or other,28,none,own,2,management/self employed,1,None,Yes,High
0-200 DM,12,existing credits paid,new car,1295,< 100 DM,<1 year,3,female:divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee,1,None,Yes,High
0 DM,48,existing credits paid,business,4308,< 100 DM,<1 year,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee,1,None,Yes,High
0-200 DM,12,existing credits paid,radio/television,1567,< 100 DM,1-4 years,1,female:divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,24,critical account,new car,1199,< 100 DM,>7 years,4,male:single,none,4,car or other,60,none,own,2,unskilled/resident,1,None,Yes,High
0 DM,15,existing credits paid,new car,1403,< 100 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,24,existing credits paid,radio/television,1282,100-500 DM,1-4 years,4,female:divorced/separated/married,none,2,car or other,32,none,own,1,unskilled/resident,1,None,Yes,High
No checking account,24,critical account,radio/television,2424,no savings,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee,1,None,Yes,Low
0 DM,30,none/all paid back,business,8072,no savings,<1 year,2,male:single,none,3,car or other,25,bank,own,3,skilled employee,1,None,Yes,Low
0-200 DM,24,existing credits paid,used car,12579,< 100 DM,>7 years,4,female:divorced/separated/married,none,2,unknown/no property,44,none,free,1,management/self employed,1,yes,Yes,High
No checking account,24,existing credits paid,radio/television,3430,500-1000 DM,>7 years,3,male:single,none,2,car or other,31,none,own,1,skilled employee,2,yes,Yes,Low
No checking account,9,critical account,new car,2134,< 100 DM,1-4 years,4,male:single,none,4,car or other,48,none,own,3,skilled employee,1,yes,Yes,Low
0 DM,6,existing credits paid,radio/television,2647,500-1000 DM,1-4 years,2,male:single,none,3,real estate,44,none,rent,1,skilled employee,2,None,Yes,Low
0 DM,10,critical account,new car,2241,< 100 DM,<1 year,1,male:single,none,3,real estate,48,none,rent,2,unskilled/resident,2,None,No,Low
0-200 DM,12,critical account,used car,1804,100-500 DM,<1 year,3,male:single,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee,1,None,Yes,Low
No checking account,10,critical account,furniture/equipment,2069,no savings,1-4 years,2,male:married,none,1,car or other,26,none,own,2,skilled employee,1,None,No,Low
0 DM,6,existing credits paid,furniture/equipment,1374,< 100 DM,1-4 years,1,male:single,none,2,real estate,36,bank,own,1,unskilled/resident,1,yes,Yes,Low
No checking account,6,none/all paid back,radio/television,426,< 100 DM,>7 years,4,male:married,none,4,car or other,39,none,own,1,unskilled/resident,1,None,Yes,Low
>200 DM,12,all credits at this bank paid back,radio/television,409,>1000 DM,1-4 years,3,female:divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee,1,None,Yes,Low
0-200 DM,7,existing credits paid,radio/television,2415,< 100 DM,1-4 years,3,male:single,guarantor,2,real estate,34,none,own,1,skilled employee,1,None,Yes,Low
0 DM,60,historical delay in payment,business,6836,< 100 DM,>7 years,3,male:single,none,4,unknown/no property,63,none,own,2,skilled employee,1,yes,Yes,High
0-200 DM,18,existing credits paid,business,1913,>1000 DM,<1 year,3,male:married,none,3,real estate,36,bank,own,1,skilled employee,1,yes,Yes,Low
0 DM,24,existing credits paid,furniture/equipment,4020,< 100 DM,1-4 years,2,male:single,none,2,car or other,27,stores,own,1,skilled employee,1,None,Yes,Low
